sdss_id,gaia_dr3_source_id,ra,dec
54877927,465531921835064576,38.0265768,61.4786793
54878039,465534395736237696,38.2055326,61.4448823
54878114,465535495247807360,38.4150785,61.4939653
54878180,465537762990544128,38.1797812,61.5163291
54878224,465538690703408256,38.1974115,61.6048742
54878281,465540374330806016,38.3287019,61.6291271
54878335,465543775944808576,37.7115419,61.5061809
54878366,465545249112662528,37.9048458,61.5907191
54878433,465550888410555520,37.9592686,61.5999808
54878468,465553705908974464,38.1948070,61.7371910
54878491,465555630054357760,37.7991500,61.7273226
54880071,465643316106684032,40.0102703,61.1292732
54880216,465648195189619200,39.5857947,61.0693615
54880448,465665890455800320,40.5027133,61.2802327
54880484,465667711521918336,40.4563432,61.3391371
54880563,465673346518945536,40.2343744,61.4959699
54880647,465677057371965312,40.7911906,61.5640901
54883990,465844835970354560,39.2835532,61.4022579
54884194,465860366572076160,38.9049995,61.4923165
54884278,465866620044341248,38.7968285,61.6789432
54884293,465868338031241472,39.1963283,61.6562733
54885023,465914826758868608,38.5846382,61.7377830
54885101,465918606330049664,38.6003559,61.8134890
54885210,465927058825779456,38.7821418,61.9977039
54885244,465929051690560640,38.2369343,61.7601693
54885324,465935270803324416,38.0848492,61.9908462
54888256,466126963780637696,44.8586937,60.5375344
54888342,466133114173657856,45.2856376,60.7512953
54888533,466154279772413824,44.8996147,61.0088915
54888743,466178297230210816,45.5157589,61.1956533
54888922,466197607405328000,44.2457194,60.9491666
54888931,466198569476536320,44.2381379,60.9923066
54889040,466212450810786176,44.1056967,61.1256018
54889304,466239148328228736,45.4554588,61.4957546
54889791,466286491748356096,45.6705968,61.5554273
54890388,466335183796498176,45.5038137,61.6771009
54891338,466413416622337536,44.2242208,61.4541873
54891365,466415860462176512,44.3074608,61.5628171
54896303,466788216944762240,46.6193854,62.9093162
54896651,466817594521327616,47.5070317,63.1054646
54899655,467080343440480000,46.1871980,63.7114796
54899895,467104979372714496,46.1093494,64.0215779
54900212,467131367652089856,47.0558099,63.8310777
54901730,467267432221577088,42.2130202,62.2162562
